SUBCOUNTY,HEALTH FACILITY,PERIOD,POPN,BCG,Polio0,HepB0,Polio1,Polio2,Polio3,IPV,IPV2,PENTA1,PENTA2,PENTA3,PCV1,PCV2,PCV3,Rota1 ,Rota2,Rota3,MR1,YF,Fully_imm,MR2,HPV1-Dose 1,HPV2-Dose 2,VitA1,VitA2,DEW1,DEW2,BCG_POLIO_TARGET,EPI_TARGET,HPV_TARGET,DEW_TARGET,VITA_TARGET
Central Division,Kyungu Health Centre III,Jul-24,358.3,16,15,7,27,25,34,35,25,27,26,34,27,26,35,23,25,34,33,6,31,11,0,0,41,33,76,41,17.4,15.4,5.5,149.4,64.9
Central Division,Kyungu Health Centre III,Aug-24,358.3,34,29,9,46,37,44,44,44,47,38,44,47,38,44,49,39,39,62,73,54,16,3,1,67,29,49,166,17.4,15.4,5.5,149.4,64.9
Central Division,Kyungu Health Centre III,Sep-24,358.3,26,26,9,38,40,50,50,40,38,40,50,39,40,50,39,40,50,52,49,43,14,0,0,16,3,154,0,17.4,15.4,5.5,149.4,64.9
Central Division,Kyungu Health Centre III,Oct-24,358.3,18,15,13,28,30,21,15,23,28,28,21,27,30,22,28,30,17,29,29,29,11,0,0,45,35,79,43,17.4,15.4,5.5,149.4,64.9
Central Division,Kyungu Health Centre III,Nov-24,358.3,21,17,10,15,14,14,19,13,13,14,14,12,10,16,16,17,11,26,24,26,18,28,0,99,26,123,177,17.4,15.4,5.5,149.4,64.9
Central Division,Kyungu Health Centre III,Dec-24,358.3,31,27,12,24,21,24,28,21,24,19,24,25,16,24,24,19,21,33,28,27,25,0,0,56,52,235,4,17.4,15.4,5.5,149.4,64.9
Central Division,Kyungu Health Centre III,Jan-25,358.3,25,20,7,34,30,30,33,32,33,30,31,35,32,31,35,27,24,19,19,0,7,0,0,43,5,117,18,17.4,15.4,5.5,149.4,64.9
Central Division,Kyungu Health Centre III,Feb-25,358.3,16,15,0,26,25,31,32,0,25,29,28,24,24,23,26,26,0,55,0,87,289,0,0,64,101,183,32,17.4,15.4,5.5,149.4,64.9
Central Division,Kyungu Health Centre III,Mar-25,358.3,19,41,0,47,46,39,50,0,46,42,39,46,37,42,50,36,0,72,0,72,29,0,0,174,0,203,0,17.4,15.4,5.5,149.4,64.9
Central Division,Mukono COU Hospital,Jul-24,1908.3,160,108,121,183,191,193,191,189,185,192,207,183,180,194,192,198,207,179,177,179,55,0,2,0,0,213,0,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono COU Hospital,Aug-24,1908.3,132,103,56,150,171,165,147,166,166,164,151,165,163,153,173,161,151,134,137,134,0,1,2,0,0,587,0,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono COU Hospital,Sep-24,1908.3,133,108,0,132,130,148,158,164,149,156,167,151,151,167,150,155,165,160,156,160,0,2,1,0,0,93,0,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono COU Hospital,Oct-24,1908.3,128,125,139,162,154,158,139,146,172,157,164,172,155,160,170,157,0,148,152,148,82,0,0,6,0,6,0,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono COU Hospital,Nov-24,1908.3,117,46,59,77,73,59,156,140,143,157,140,141,162,143,142,159,140,115,127,115,46,0,0,291,0,191,0,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono COU Hospital,Dec-24,1908.3,108,0,104,0,0,0,144,133,151,141,128,153,139,130,173,129,125,144,145,144,43,3,0,102,49,114,0,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono COU Hospital,Jan-25,1908.3,129,65,0,155,93,70,151,0,139,158,138,141,177,144,160,173,0,187,0,187,72,10,1,151,49,9,0,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono COU Hospital,Feb-25,1908.3,83,59,65,160,134,101,127,136,134,122,143,127,120,146,127,122,143,122,122,122,0,2,0,168,115,90,115,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono COU Hospital,Mar-25,1908.3,133,115,107,173,188,185,149,122,156,141,127,152,140,127,152,139,124,143,143,138,28,13,0,279,82,186,71,92.6,82.1,29.4,795.8,345.4
Central Division,Mukono General Hospital,Jul-24,5016.7,1206,1123,850,499,434,435,506,433,499,444,431,504,436,435,516,412,347,471,473,471,160,6,0,1401,3078,0,4166,243.3,215.7,77.3,2092,908
Central Division,Mukono General Hospital,Aug-24,5016.7,959,931,0,497,410,389,917,401,518,424,409,503,427,401,488,391,321,446,422,446,169,7,0,790,110,1858,1112,243.3,215.7,77.3,2092,908
Central Division,Mukono General Hospital,Sep-24,5016.7,1085,1108,213,562,482,477,549,382,558,613,476,557,459,469,421,352,298,487,506,487,150,19,4,2341,293,2440,834,243.3,215.7,77.3,2092,908
Central Division,Mukono General Hospital,Oct-24,5016.7,1176,1012,0,525,482,464,1032,459,604,549,522,600,542,517,485,456,375,555,548,593,165,2,1,562,964,1207,187,243.3,215.7,77.3,2092,908
Central Division,Mukono General Hospital,Nov-24,5016.7,1016,474,374,263,233,227,940,423,507,425,429,511,416,426,357,304,278,384,403,384,139,374,35,0,8816,0,13958,243.3,215.7,77.3,2092,908
Central Division,Mukono General Hospital,Dec-24,5016.7,968,38,299,30,180,27,855,373,494,399,390,468,336,374,464,370,302,380,380,380,138,1,1,0,2331,0,2166,243.3,215.7,77.3,2092,908
Central Division,Mukono General Hospital,Jan-25,5016.7,973,621,563,440,295,270,1106,463,501,498,478,498,491,521,492,456,406,398,372,398,113,3,0,0,1199,0,703,243.3,215.7,77.3,2092,908
Central Division,Mukono General Hospital,Feb-25,5016.7,828,744,545,348,344,344,865,424,466,417,435,432,404,428,450,407,397,349,340,349,208,1,5,859,0,674,0,243.3,215.7,77.3,2092,908
Central Division,Mukono General Hospital,Mar-25,5016.7,849,830,724,422,411,335,826,392,463,451,427,450,451,427,468,432,373,381,394,381,134,0,0,1055,0,1180,0,243.3,215.7,77.3,2092,908
Central Division,Mukono Muslim Health Centre II,Jul-24,275,8,8,8,18,20,24,40,40,10,22,18,2,9,1,15,25,18,40,20,37,8,0,0,161,55,75,66,13.3,11.8,4.2,114.7,49.8
Central Division,Mukono Muslim Health Centre II,Aug-24,275,4,4,4,22,20,23,18,18,22,20,23,22,20,23,22,20,23,18,48,7,5,0,0,42,73,15,39,13.3,11.8,4.2,114.7,49.8
Central Division,Mukono Muslim Health Centre II,Sep-24,275,8,8,8,10,21,21,8,18,10,20,21,10,21,22,10,20,21,19,19,11,10,0,0,52,75,34,34,13.3,11.8,4.2,114.7,49.8
Central Division,Mukono Muslim Health Centre II,Oct-24,275,9,9,8,18,21,23,17,29,18,21,23,18,23,23,18,22,23,32,31,21,6,0,0,27,61,27,30,13.3,11.8,4.2,114.7,49.8
Central Division,Mukono Muslim Health Centre II,Nov-24,275,10,9,2,25,15,11,30,19,28,18,11,29,17,11,30,16,20,16,14,15,13,0,0,18,19,9,8,13.3,11.8,4.2,114.7,49.8
Central Division,Mukono Muslim Health Centre II,Dec-24,275,8,2,9,2,2,2,30,30,31,35,27,31,35,27,31,35,0,17,15,6,8,0,0,143,102,62,65,13.3,11.8,4.2,114.7,49.8
Central Division,Mukono Muslim Health Centre II,Jan-25,275,2,2,0,29,27,30,27,19,27,28,27,28,29,31,28,31,0,27,17,4,20,0,0,137,111,66,95,13.3,11.8,4.2,114.7,49.8
Central Division,Mukono Muslim Health Centre II,Feb-25,275,12,11,0,19,27,12,22,0,19,12,21,18,30,20,18,32,0,26,0,3,6,0,0,77,53,24,39,13.3,11.8,4.2,114.7,49.8
Central Division,Mukono Muslim Health Centre II,Mar-25,275,14,3,0,16,20,26,16,0,16,19,24,16,19,24,15,19,0,22,0,3,3,0,0,119,80,30,32,13.3,11.8,4.2,114.7,49.8
Central Division,Central Division,Jul-24,7558.3,1439,1303,986,846,792,801,1013,687,826,805,805,821,776,782,849,786,606,820,676,789,269,9,3,2018,3404,765,4428,366.6,325,116.4,3151.8,1368.1
Central Division,Central Division,Aug-24,7558.3,1168,1106,69,812,740,735,1328,629,851,747,743,821,748,750,824,714,534,756,680,709,223,11,3,1348,433,2670,1467,366.6,325,116.4,3151.8,1368.1
Central Division,Central Division,Sep-24,7558.3,1302,1351,230,798,748,750,877,604,815,897,764,816,744,760,682,634,534,763,730,741,205,21,5,2502,415,2774,938,366.6,325,116.4,3151.8,1368.1
Central Division,Central Division,Oct-24,7558.3,1347,1171,160,774,709,712,1257,657,860,777,765,853,773,758,731,702,415,796,760,799,275,2,1,745,1147,1452,360,366.6,325,116.4,3151.8,1368.1
Central Division,Central Division,Nov-24,7558.3,1182,549,445,413,366,341,1198,595,724,641,624,718,635,626,578,529,449,563,568,555,222,402,35,715,9142,541,14272,366.6,325,116.4,3151.8,1368.1
Central Division,Central Division,Dec-24,7558.3,1136,73,424,64,207,59,1100,557,715,601,575,692,533,570,707,560,448,601,568,559,238,4,1,383,2596,555,2320,366.6,325,116.4,3151.8,1368.1
Central Division,Central Division,Jan-25,7558.3,1147,708,570,658,445,400,1346,550,749,759,733,751,772,786,739,727,430,684,433,673,222,13,1,441,1429,329,951,366.6,325,116.4,3151.8,1368.1
Central Division,Central Division,Feb-25,7558.3,982,871,610,589,565,521,1159,560,691,615,670,650,613,660,673,625,540,612,462,601,528,3,5,1269,405,1149,319,366.6,325,116.4,3151.8,1368.1
Central Division,Central Division,Mar-25,7558.3,1026,1013,831,675,680,613,1081,514,706,665,630,685,663,631,707,638,497,664,537,611,214,13,0,1722,221,1685,144,366.6,325,116.4,3151.8,1368.1
Goma Division,Bukerere Health Centre II,Jul-24,1200,23,23,9,71,72,73,71,73,71,72,73,71,72,73,71,72,73,68,68,68,42,31,7,110,69,100,49,58.2,51.6,18.5,500.4,217.2
Goma Division,Bukerere Health Centre II,Aug-24,1200,52,40,40,54,81,86,54,78,54,78,86,54,78,86,54,77,86,53,23,53,29,23,19,150,35,107,31,58.2,51.6,18.5,500.4,217.2
Goma Division,Bukerere Health Centre II,Sep-24,1200,37,26,23,68,53,73,68,73,68,53,73,68,53,73,68,53,73,83,85,83,35,2,0,107,73,115,24,58.2,51.6,18.5,500.4,217.2
Goma Division,Bukerere Health Centre II,Oct-24,1200,31,27,25,64,67,63,64,63,64,67,63,64,67,63,64,67,63,58,59,56,30,34,0,136,55,451,27,58.2,51.6,18.5,500.4,217.2
Goma Division,Bukerere Health Centre II,Nov-24,1200,47,41,33,68,73,69,68,69,68,73,69,68,73,69,68,73,69,55,56,54,42,59,0,148,42,98,34,58.2,51.6,18.5,500.4,217.2
Goma Division,Bukerere Health Centre II,Dec-24,1200,31,24,17,64,62,65,64,65,64,62,65,64,62,65,64,62,65,68,68,65,29,1,0,126,53,112,23,58.2,51.6,18.5,500.4,217.2
Goma Division,Bukerere Health Centre II,Jan-25,1200,51,45,3,74,90,74,74,74,74,90,74,74,90,74,0,0,0,72,12,70,23,0,1,75,83,59,83,58.2,51.6,18.5,500.4,217.2
Goma Division,Bukerere Health Centre II,Feb-25,1200,33,22,18,73,60,68,73,68,73,59,68,73,59,68,71,59,68,60,60,60,25,0,11,59,69,32,54,58.2,51.6,18.5,500.4,217.2
Goma Division,Bukerere Health Centre II,Mar-25,1200,25,21,16,60,67,70,60,70,60,67,70,60,67,70,60,67,70,64,64,64,32,0,2,67,84,291,959,58.2,51.6,18.5,500.4,217.2
Goma Division,Goma Health Centre III,Jul-24,5675,223,160,140,237,253,198,207,207,240,244,197,238,253,200,219,242,169,197,201,197,100,331,0,339,76,164,92,275.2,244,87.4,2366.5,1027.2
Goma Division,Goma Health Centre III,Aug-24,5675,174,163,105,226,235,214,215,210,233,235,209,234,234,213,243,219,191,189,177,189,70,114,65,266,81,199,131,275.2,244,87.4,2366.5,1027.2
Goma Division,Goma Health Centre III,Sep-24,5675,188,162,95,241,220,228,228,228,233,222,236,234,220,236,232,221,217,204,213,204,111,64,121,299,128,6557,155,275.2,244,87.4,2366.5,1027.2
Goma Division,Goma Health Centre III,Oct-24,5675,191,169,126,273,255,240,241,241,274,264,241,268,261,237,284,272,227,230,243,230,65,203,104,551,281,512,332,275.2,244,87.4,2366.5,1027.2
Goma Division,Goma Health Centre III,Nov-24,5675,176,171,81,236,215,203,203,203,234,214,203,230,215,203,230,218,195,287,269,260,211,147,69,2047,425,2266,489,275.2,244,87.4,2366.5,1027.2
Goma Division,Goma Health Centre III,Dec-24,5675,187,181,123,231,234,213,213,213,225,233,206,226,233,205,165,167,153,182,181,80,51,3,1,290,82,91,94,275.2,244,87.4,2366.5,1027.2
